PW ,SW,MW,RA
7.81,-1.5992842109717205,0.6984302957695782,1
7.41,0.08972881711722423,-1.3968605915391563,0
7.49,0.9764606568639203,0.6984302957695782,1
7.41,0.08972881711722423,-1.3968605915391563,0
7.41,0.08972881711722423,-1.3968605915391563,1
7.81,-1.5992842109717205,0.6984302957695782,0
7.81,-1.5992842109717205,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.49,0.9764606568639203,0.6984302957695782,0
7.49,0.9764606568639203,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.81,-1.5992842109717205,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.49,0.9764606568639203,0.6984302957695782,0
7.49,0.9764606568639203,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.81,-1.5992842109717205,0.6984302957695782,0
7.81,-1.5992842109717205,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.81,-1.5992842109717205,0.6984302957695782,0
7.49,0.9764606568639203,0.6984302957695782,0
7.81,-1.5992842109717205,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.49,0.9764606568639203,0.6984302957695782,0
7.49,0.9764606568639203,0.6984302957695782,0
7.49,0.9764606568639203,0.6984302957695782,0
7.41,0.08972881711722423,-1.3968605915391563,0
7.41,0.08972881711722423,0.6984302957695782,0
7.49,0.9764606568639203,0.6984302957695782,0
7.81,-1.5992842109717205,0.6984302957695782,0
